top - 13:48:16 up 5 days, 20:36,  1 user,  load average: 5.72, 5.27, 4.82
Tasks: 126 total,   2 running,  64 sleeping,   0 stopped,   5 zombie
%Cpu0  :  17.7/15.8   34[|||||||||||||||||                                    ]
%Cpu1  :  30.5/19.9   50[|||||||||||||||||||||||||||                          ]
%Cpu2  :  29.6/19.8   49[||||||||||||||||||||||||||                           ]
%Cpu3  :  36.1/21.3   57[||||||||||||||||||||||||||||||                       ]
GiB Mem : 44.4/1.708    [                                                     ]
GiB Swap:  0.0/0.000    [                                                     ]

  PID USER      PR  NI    VIRT    RES  %CPU %MEM     TIME+ S COMMAND
    1 root      20   0   27.3m   5.9m   0.0  0.3   2:01.01 S systemd
  204 root      20   0  179.7m  84.7m   0.0  4.8  12:55.96 S  `- systemd-journ+
  223 root      20   0   16.0m   3.9m   0.0  0.2   0:02.48 S  `- systemd-udevd
  227 systemd+  20   0    7.2m   3.2m   0.0  0.2   0:02.09 S  `- systemd-netwo+
  291 systemd+  20   0   10.7m   4.3m   0.0  0.2   0:02.39 S  `- systemd-resol+
  295 root      20   0    2.3m   0.4m   0.0  0.0   0:00.01 S  `- login
  354 root      20   0   13.0m  10.1m   0.0  0.6   0:00.58 S      `- camera-cli
  297 dbus      20   0    5.0m   2.9m   0.0  0.2   4:39.34 S  `- dbus-daemon
  300 root      20   0    6.7m   1.5m   0.0  0.1   0:04.33 S  `- systemd-logind
  317 root      20   0   47.3m   5.6m   0.0  0.3  50:55.99 S  `- swupdate
  345 root      20   0   28.3m   5.0m   4.5  0.3  90:06.88 S      `- swupdate
  322 root      20   0   45.3m  10.9m   0.0  0.6   8:30.99 S  `- NetworkManager
  326 redis     20   0   29.3m   3.4m   0.0  0.2 206:10.66 S  `- redis-server
  361 root      20   0    7.6m   6.3m   0.0  0.4  37:09.53 S  `- python3
  362 root      20   0 1223.1m  88.6m  18.2  5.1  48:09.77 S  `- node
 2349 root      20   0    2.3m   0.3m   0.0  0.0   0:00.01 S      `- sh
 2350 root      20   0   46.6m   4.3m  68.2  0.2   0:00.23 R          `- journ+
 2351 root      20   0    2.4m   1.3m  22.7  0.1   0:00.07 S          `- gzip
 2352 root      20   0    2.3m   0.3m   0.0  0.0   0:00.01 S      `- sh
 2353 root      20   0    5.1m   2.2m  18.2  0.1   0:00.09 R          `- top
 2354 root      20   0    0.0m   0.0m   0.0  0.0   0:00.02 Z      `- sh
 2355 root      20   0    0.0m   0.0m   9.1  0.0   0:00.02 Z      `- sh
 2357 root      20   0    0.0m   0.0m   9.1  0.0   0:00.02 Z      `- sh
 2359 root      20   0    0.0m   0.0m   9.1  0.0   0:00.02 Z      `- sh
 2362 root      20   0    0.0m   0.0m   4.5  0.0   0:00.01 Z      `- sh
  364 root      20   0  649.7m  32.6m   4.5  1.9 148:42.92 S  `- fail2ban-serv+
  422 root      20   0 1322.4m 580.3m 163.6 33.2  15139:09 S  `- itscamd
  423 root      20   0   16.9m  12.6m   0.0  0.7   0:08.66 S  `- python3
  444 root      20   0    5.3m   3.7m   0.0  0.2   0:02.54 S  `- sshd
  789 root      20   0  526.5m  10.4m   0.0  0.6   9:54.87 S  `- varco-device
  864 root      20   0   12.1m   1.8m   0.0  0.1   0:00.92 S  `- chronyd
    2 root      20   0    0.0m   0.0m   0.0  0.0   0:01.72 S kthreadd
    3 root       0 -20    0.0m   0.0m   0.0  0.0   0:00.00 I  `- rcu_gp
    4 root       0 -20    0.0m   0.0m   0.0  0.0   0:00.00 I  `- rcu_par_gp
    8 root       0 -20    0.0m   0.0m   0.0  0.0   0:00.00 I  `- mm_percpu_wq
    9 root      20   0    0.0m   0.0m   0.0  0.0   1:18.23 S  `- ksoftirqd/0
   10 root      20   0    0.0m   0.0m   0.0  0.0  45:32.54 I  `- rcu_preempt
   11 root      20   0    0.0m   0.0m   0.0  0.0   0:00.02 I  `- rcu_sched
   12 root      20   0    0.0m   0.0m   0.0  0.0   0:00.00 I  `- rcu_bh
   13 root      rt   0    0.0m   0.0m   0.0  0.0   2:53.12 S  `- migration/0
   14 root      20   0    0.0m   0.0m   0.0  0.0   0:00.00 S  `- cpuhp/0
   15 root      20   0    0.0m   0.0m   0.0  0.0   0:00.00 S  `- cpuhp/1
   16 root      rt   0    0.0m   0.0m   0.0  0.0   1:55.91 S  `- migration/1
   17 root      20   0    0.0m   0.0m   0.0  0.0   0:23.82 S  `- ksoftirqd/1
   20 root      20   0    0.0m   0.0m   0.0  0.0   0:00.00 S  `- cpuhp/2
